+----------------+-----------+
|      Word      | Frequency |
|     uzbek      |     1     |
|      zbek      |     1     |
|   vietnamese   |     1     |
|     tiếng      |     1     |
|      việt      |     1     |
|     terms      |     1     |
|      use       |     1     |
|    privacy     |     1     |
|     policy     |     1     |
|    cookies     |     1     |
|    parental    |     1     |
|    guidance    |     1     |
|    contact     |     1     |
|   editorial    |     1     |
|   complaint    |     1     |
|     emails     |     1     |
|   advertise    |     1     |
|   adchoices    |     1     |
|      sell      |     1     |
|      info      |     1     |
|   copyright    |     1     |
|  responsible   |     1     |
|     sites      |     1     |
|      read      |     1     |
|    approach    |     1     |
|    linking     |     1     |
+----------------+-----------+
